Name1,Name2,Name3,Price,Discount,Country,Producer,VendorCode,Weight,WeightUnit,Compound,Protein,Fat,Carbo,Portion,Guid,Adult,Link,CategoriesEnum
Стружка Кокосовая Белая Гурмина,Кокосовая стружка белая Гурмина,,3.63,,Республика Беларусь,Гурмина ООО,-1018105439,30,гр,Кокосовая стружка белая Гурмина,,,,,6f527ea4-cdf6-4db6-8742-aca5d8713433,False,https://avatars.mds.yandex.net/get-eda/3528285/3c4fee9d62671979d672984e2bcaaf41/{w}x{h},
Глазурь Шоколадная Гурмина,Глазурь шоколадная Гурмина,,3.69,,Республика Беларусь,Гурмина ООО,-913981447,100,гр,Глазурь шоколадная Гурмина,,,,,abd876f8-585d-4901-bca1-4c3e79e2dcfb,False,https://avatars.mds.yandex.net/get-eda/3513074/5d9b4d3b04a832ca35ef4ea1a63b15ed/{w}x{h},
Пудра Сахарная Гурмина Имбирь-Лайм,Сахарная пудра Гурмина Имбирь-лайм,,1.13,,Республика Беларусь,Гурмина ООО,-899818129,40,гр,Сахарная пудра Гурмина Имбирь-лайм,,,,,b1881853-26e6-4ffb-a6e1-7f3c5cb38263,False,https://avatars.mds.yandex.net/get-eda/3770794/e0df4b9855238278babcef4d9cea6a48/{w}x{h},
Пудра Сахарная Гурмина Корица-Яблоко,Пудра Сахарная Гурмина Корица-Яблоко 40гр,,0.69,,Республика Беларусь,Гурмина ООО,-895194131,40,гр,Пудра Сахарная Гурмина Корица-Яблоко 40гр,,,,,07ea0ced-cab2-4db6-b6e4-ac8546314a62,False,https://avatars.mds.yandex.net/get-eda/3583862/ffd268713ed6ac6dda1863900e1b9f29/{w}x{h},
Глазурь Гурмина Ваниль,Глазурь Гурмина Ваниль 100гр,,3.69,,Республика Беларусь,Гурмина ООО,-913981448,100,гр,Глазурь Гурмина Ваниль 100гр,,,,,d6272be3-4069-4e11-be90-13244f5c485b,False,https://avatars.mds.yandex.net/get-eda/2783965/b28bcb508bd39a4fedcd6df97f65f21f/{w}x{h},
Фундук Альвадо Очищенный,Фундук Альвадо Очищенный 60гр,,4.06,,Республика Беларусь,Алижан ЧП,-899762786,60,гр,Фундук Альвадо Очищенный 60гр,,,,,3322b1aa-66ed-4278-87af-c91b604ec8d9,False,https://avatars.mds.yandex.net/get-eda/3580810/2ef01b1e8e485d0251766ef1f4dccc22/{w}x{h},
Миндаль Ядра Альвадо,Миндаль Ядра Альвадо 60гр,,4.13,,США,Alvas Ir Co Uab,-895194913,60,гр,Миндаль Ядра Альвадо 60гр,,,,,a404ad72-40ac-4aff-b52d-ed6bd565dbd6,False,https://avatars.mds.yandex.net/get-eda/3439028/4d163bc6adea4c4603b17c23e71163ca/{w}x{h},
Желатин Гурмина Пищевой,Желатин Гурмина Пищевой 20гр,,3.72,,Республика Беларусь,Гурмина ООО,-899762807,20,гр,Желатин Гурмина Пищевой 20гр,,,,,1b5758ab-c127-4249-b025-33091ba159a2,False,https://avatars.mds.yandex.net/get-eda/3569651/dd4b901c2741d95875af37d7b89037d9/{w}x{h},
Загуститель Гурмина Классический для Сливок и Сметаны,Загуститель для сливок и сметаны Классический Гурмина,,0.69,,Республика Беларусь,Гурмина ООО,-895195869,16,гр,Загуститель для сливок и сметаны Классический Гурмина,,,,,42cf10c2-cf84-4679-80d1-32c134b3cfb1,False,https://avatars.mds.yandex.net/get-eda/3667559/02e33030fc3f61ac1d9b5b25bb402d65/{w}x{h},
Агар-агар Котани,Агар-агар Котани 10гр,,2.34,,Австрия,Kotanyi Gmbh,-913981357,10,гр,Агар-агар Котани 10гр,,,,,1875c093-9621-452f-9706-33b52c666878,False,https://avatars.mds.yandex.net/get-eda/3439028/2fd884a2f28257885171c297e52c74f8/{w}x{h},
Ванилин Гурмина Айриш Крим,Ванилин Гурмина Айриш Крим 1.5гр,,0.45,,Республика Беларусь,Гурмина ООО,-899763087,1.5,гр,Ванилин Гурмина Айриш Крим 1.5гр,,,,,72075a49-1122-49e5-835d-2a1f4570c999,False,https://avatars.mds.yandex.net/get-eda/3596693/b025823fbe4338820147f48d7fb3f4d1/{w}x{h},
Крем Заварной Гурмина Ваниль100гр,Крем Заварной Гурмина Ваниль100гр,,3.72,,Республика Беларусь,Гурмина ООО,-895196039,100,g,Крем Заварной Гурмина Ваниль100гр,,,,,ae21a7bb-5b0c-4198-bf04-e2d6e88993ac,False,https://avatars.mds.yandex.net/get-eda/3490902/78a4718b7bd5849a2e90ec243a55ca48/{w}x{h},
Фольга Пищевая Умный Выбор 30см*10м,Фольга Пищевая Умный Выбор 30см*10м,,3.79,,Россия,ИнтроПластика ООО,-895194917,88,g,Фольга Пищевая Умный Выбор 30см*10м,,,,,1cab8e57-345e-4055-ba36-6c5b3a5505a4,False,https://avatars.mds.yandex.net/get-eda/2794391/057e8752e37f636ad2350569177a72cc/{w}x{h},
Бумага для Выпекания Умный Выбор 28см*6м,Бумага для Выпекания Умный Выбор 28см*6м,,1.15,,Россия,ИнтроПластика ООО,-899762669,200,g,Бумага для Выпекания Умный Выбор 28см*6м,,,,,dad96a70-d192-4181-a4de-a9c1501acd22,False,https://avatars.mds.yandex.net/get-eda/2794391/981b6c54a74af95d05453c6b70060ff6/{w}x{h},
Пирожное Бисквитное Медвежонок Барни с Бананово-Йогуртовой Начинкой,,,6.21,,Россия,Мондэлис Русь ООО,-899762820,150,гр,Пирожное Бисквитное Медвежонок Барни с Бананово-Йогуртовой Начинкой 150гр,,,,,00a7253a-d9b4-4848-b84b-cb95b2a3a0e5,False,https://avatars.mds.yandex.net/get-eda/3436037/68a01841e988e867dd7d18cbcc49a300/{w}x{h},
